1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1.,1.2.2,1.2.3,1.2.4,1.2.5,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.2.1,3.2.2,3.2.3,3.2.4,3.2.5,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.2.1,4.2.2,4.2.3,4.2.4,4.2.5,4.3.1,4.3.2,4.3.3,4.3.4,4.3.5,5.1.1,5.1.2,5.1.3,5.1.4,5.1.5,"5.2,1",5.2.2,5.2.3,5.2.4,5.2.5,5.3.1,5.3.2,5.3.3,5.3.4,5.3.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,4.5,5.1,5.2,5.3,5.4,5.5
1,5,4,3,2,1,5,4,3,2,5,4,3,2,1,3,4,2,1,5,4,3,2,1,5,2,3,4,5,1,4,2,3,5,1,4,3,2,1,5,4,2,3,1,5,5,2,1,3,4,5,4,1,3,2,5,1,4,3,2,5,1,2,3,4,5,1,2,3,4,1,5,4,3,2,1,25,16,9,4,12,12,4,1,25,16,6,6,5,5,25,8,1,9,8,25,1,4,9,16
2,1,5,4,3,2,1,5,4,3,1,2,5,4,3,3,2,4,1,5,4,1,2,3,5,5,2,3,1,4,4,5,3,2,1,1,4,2,5,3,5,4,2,3,1,4,1,2,3,5,5,1,3,2,4,5,1,3,2,4,4,5,1,2,3,5,4,2,3,1,5,4,3,2,1,4,1,25,16,9,12,2,8,3,25,4,20,6,10,3,20,1,6,6,20,20,20,2,6,3
1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,4,9,16,25,1,4,9,16,25,1,4,9,16,25,1,4,9,16,25,1,4,9,16,25
5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,25,16,9,4,1,25,16,9,4,1,25,16,9,4,1,25,16,9,4,1,25,16,9,4,1
3,4,1,2,5,5,4,3,2,1,2,1,3,4,5,3,4,1,2,5,2,3,1,4,5,2,4,5,1,3,3,1,4,2,5,5,3,4,1,2,1,2,3,4,5,3,1,2,4,5,2,1,3,4,5,1,4,3,2,5,5,4,3,2,1,4,2,3,1,5,1,2,3,5,4,15,16,3,4,5,6,12,1,8,25,15,3,16,2,10,6,1,6,16,25,20,8,9,2,5
1,2,3,4,5,5,1,2,3,4,1,3,2,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,3,2,4,5,5,3,4,2,1,5,3,4,2,1,4,2,5,1,3,1,5,2,3,4,1,5,3,2,4,4,2,3,1,5,5,2,6,12,20,1,4,9,16,25,1,4,9,16,25,25,9,16,4,1,1,25,6,6,16
5,4,3,2,1,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,8,9,8,5,25,16,9,4,1,5,8,9,8,5,1,4,9,16,25,25,16,9,4,1
4,5,3,2,1,5,4,1,2,3,3,5,4,1,2,1,2,5,4,3,1,2,5,4,3,4,3,2,1,5,1,2,5,4,3,3,4,2,5,1,5,1,3,2,4,5,4,2,3,1,2,4,3,5,1,4,3,2,5,1,5,3,4,2,1,5,4,3,2,1,3,2,4,1,5,20,20,3,4,3,1,4,25,16,9,3,8,10,20,3,10,16,6,15,1,25,12,12,4,1
3,5,4,2,1,3,5,4,2,1,3,5,4,2,1,4,2,3,1,5,4,2,3,1,5,4,2,3,1,5,4,3,1,5,2,4,3,1,5,2,4,3,1,5,2,4,3,1,5,2,4,3,1,5,2,4,3,1,5,2,2,4,3,1,5,2,4,3,1,5,2,4,3,1,5,9,25,16,4,1,16,4,9,1,25,16,9,1,25,4,16,9,1,25,4,4,16,9,1,25
4,2,1,5,3,1,2,5,4,3,4,5,3,2,1,5,3,1,2,4,5,4,3,2,1,5,4,3,2,1,1,3,5,4,2,5,3,4,2,1,3,4,2,5,1,2,3,4,5,1,5,1,4,2,3,1,4,2,5,3,2,3,1,5,4,4,5,3,2,1,5,4,3,1,2,4,4,5,20,9,25,12,3,4,4,5,9,20,8,2,10,3,16,10,3,8,15,3,10,4
5,2,3,4,1,2,1,3,4,5,4,5,3,2,1,1,2,3,4,5,3,1,2,4,5,5,2,1,3,4,5,4,2,3,1,2,5,4,3,1,3,5,4,2,1,5,2,1,4,3,5,2,1,3,4,4,3,1,2,5,5,4,2,3,1,5,2,3,4,1,5,4,3,2,1,10,2,9,16,5,3,2,6,16,25,10,20,8,9,1,25,4,1,12,12,25,8,6,12,1
5,1,4,2,3,4,3,2,5,1,4,3,5,2,1,3,4,5,2,1,4,3,5,2,1,2,1,4,3,5,5,3,4,2,1,4,5,3,2,1,4,3,5,2,1,4,2,3,1,5,1,2,3,5,4,2,1,3,5,4,4,3,5,2,1,4,3,5,2,1,4,3,2,1,5,20,3,8,10,3,12,12,25,4,1,20,15,12,4,1,4,4,9,5,20,16,9,25,4,1
3,5,1,2,4,3,4,1,2,5,4,2,5,3,1,1,5,2,3,4,1,5,3,2,4,5,2,4,3,1,2,5,3,4,1,2,5,3,4,1,4,1,3,2,5,3,5,1,4,2,4,5,3,2,1,3,1,4,2,5,4,5,3,2,1,4,5,2,1,3,2,1,3,4,5,9,20,1,4,20,1,25,6,6,16,4,25,9,16,1,12,25,3,8,2,16,25,6,2,3
4,3,1,5,2,3,4,5,2,1,5,4,3,1,2,4,2,1,3,5,4,3,1,2,5,1,4,5,3,2,3,5,2,4,1,2,5,3,4,1,3,1,5,4,2,4,5,2,1,3,4,5,3,1,2,3,5,2,1,4,5,2,1,3,4,5,2,3,4,1,2,4,3,5,1,12,12,5,10,2,16,6,1,6,25,6,25,6,16,1,16,25,6,1,6,25,4,3,12,4
5,4,1,2,3,5,4,1,2,3,5,4,2,1,3,5,4,1,3,2,5,4,1,3,2,3,4,5,2,1,1,5,2,4,3,1,5,2,4,3,5,3,4,2,1,3,5,2,4,1,3,5,2,4,1,5,4,3,2,1,5,4,2,3,1,5,4,2,3,1,4,2,5,3,1,25,16,1,4,9,25,16,1,9,4,1,25,4,16,9,9,25,4,16,1,25,16,4,9,1
5,4,3,2,1,5,4,3,1,2,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,4,3,2,1,5,5,2,4,3,1,1,3,4,2,5,1,3,2,4,5,1,3,2,4,5,3,2,4,1,5,2,3,1,4,5,2,3,1,4,5,25,16,9,2,2,25,16,9,4,1,20,12,6,2,5,1,9,8,8,25,6,6,4,4,25
5,4,2,3,1,5,4,2,3,1,5,4,2,3,1,2,4,3,5,1,2,4,3,5,1,4,3,2,1,5,4,5,2,1,3,4,5,2,1,3,3,1,5,4,2,4,5,3,1,2,4,5,3,1,2,2,4,5,3,1,2,1,5,4,3,2,5,1,3,4,4,5,1,3,2,25,16,4,9,1,4,16,9,25,1,16,25,4,1,9,16,25,9,1,4,4,5,5,12,12
4,5,3,2,1,1,2,5,3,4,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,4,1,2,3,4,5,5,4,3,1,2,5,1,2,3,4,5,4,3,1,2,5,2,1,4,3,5,1,2,3,4,5,2,1,3,4,4,10,15,6,4,5,8,9,8,5,1,4,9,20,20,25,4,6,3,8,25,2,2,12,12
1,2,3,4,5,3,2,1,5,4,3,2,1,5,4,5,4,1,2,3,5,3,1,2,4,2,3,1,5,4,4,5,3,2,1,1,5,2,4,3,5,2,3,4,1,5,4,3,1,2,4,5,3,1,2,1,5,2,4,3,4,3,2,5,1,5,2,3,4,1,5,1,2,3,4,3,4,3,20,20,25,12,1,4,12,4,25,6,8,3,20,20,9,1,4,20,6,6,20,1
1,4,5,3,2,3,4,5,1,2,2,5,4,1,3,5,4,3,1,2,4,2,3,1,5,5,2,3,1,4,4,3,5,2,1,4,5,3,2,1,4,3,5,2,1,4,5,2,3,1,1,4,2,5,3,2,1,3,4,5,5,1,3,2,4,5,1,2,3,4,5,1,3,2,4,3,16,25,3,4,20,8,9,1,10,16,15,15,4,1,4,20,4,15,3,25,1,6,6,16
5,2,1,4,3,5,2,1,4,3,5,2,1,4,3,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,3,5,1,4,2,3,5,1,4,2,4,5,1,3,2,5,4,3,1,2,5,4,3,1,2,5,4,3,1,2,5,1,4,3,2,5,1,4,3,2,5,1,4,3,2,25,4,1,16,9,25,9,4,16,1,9,25,1,16,4,25,16,9,1,4,25,1,16,9,4
5,4,3,2,1,5,4,2,3,1,5,4,3,1,2,1,4,3,2,5,2,4,3,1,5,1,2,3,4,5,1,5,2,4,3,3,5,2,4,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,2,1,3,4,5,5,4,3,2,1,4,3,5,2,1,25,16,6,6,1,2,16,9,2,25,3,25,4,16,3,1,4,9,16,25,10,4,9,8,5
3,5,4,2,1,1,3,4,2,5,3,2,1,4,5,4,2,3,1,5,3,2,4,1,5,1,3,4,5,2,4,3,2,5,1,4,5,2,3,1,2,1,5,4,3,2,4,3,5,1,4,1,3,2,5,4,2,3,5,1,5,3,2,1,4,5,1,4,2,3,3,1,5,4,2,3,15,16,4,5,12,4,12,1,25,16,15,4,15,1,8,4,9,10,5,25,3,8,2,12
2,1,3,4,5,4,5,3,2,1,4,5,3,1,2,3,2,5,1,4,5,1,2,4,3,4,5,3,2,1,2,5,4,3,1,4,5,3,1,2,4,3,5,2,1,2,3,1,4,5,2,3,4,1,5,5,3,2,4,1,4,5,3,2,1,5,4,3,1,2,1,3,2,4,5,8,5,9,8,5,15,2,10,4,12,8,25,12,3,2,4,9,4,4,25,20,20,9,2,2
4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,2,1,3,4,5,1,2,3,4,5,3,2,1,4,5,4,1,3,2,5,4,1,3,2,5,4,1,3,2,4,5,2,1,3,4,5,3,2,1,4,5,3,1,2,5,2,1,3,4,5,1,3,2,4,5,3,2,1,4,16,25,1,4,9,25,2,2,9,16,25,16,1,9,4,16,25,6,2,3,25,2,3,6,16
3,4,5,2,1,2,3,4,5,1,3,1,4,5,2,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,2,3,4,5,1,1,2,3,4,5,5,4,2,3,1,1,2,3,4,5,5,4,3,1,2,1,2,3,4,5,6,12,20,10,1,5,8,9,8,5,5,8,9,8,5,2,6,12,20,5,5,8,9,4,10
2,5,4,3,1,2,5,4,3,1,2,5,4,3,1,3,1,4,2,5,3,1,4,2,5,3,1,4,2,5,2,1,4,3,5,2,1,4,3,5,2,1,4,3,5,2,1,3,5,4,2,1,3,5,4,2,1,3,5,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,25,16,9,1,9,1,16,4,25,4,1,16,9,25,4,1,9,25,16,25,1,4,9,16
3,4,5,1,2,1,4,5,3,2,1,4,5,2,3,1,2,4,3,5,2,1,5,3,4,1,2,4,3,5,3,4,1,5,2,2,4,1,5,3,2,4,1,5,3,1,2,5,3,4,1,2,5,3,4,4,1,5,3,2,2,1,4,5,3,3,1,5,4,2,4,1,5,3,2,3,16,25,3,4,2,2,20,9,20,6,16,1,25,6,1,4,25,9,16,6,1,20,20,6
1,2,3,4,5,3,4,2,5,1,1,4,2,3,5,1,3,4,2,5,1,3,2,4,5,5,4,3,2,1,5,3,4,2,1,2,4,3,1,5,1,3,2,5,4,2,3,1,4,5,1,3,4,2,5,1,2,4,3,5,1,2,3,4,5,1,3,2,4,5,1,2,3,4,5,3,8,6,20,5,1,9,8,8,25,10,12,12,2,5,2,9,4,8,25,1,6,6,16,25
1,5,2,3,4,1,4,5,3,2,5,4,3,2,1,5,4,1,2,3,5,4,1,2,3,5,4,3,1,2,5,2,4,3,1,3,5,2,1,4,1,2,3,4,5,2,1,3,4,5,5,4,3,2,1,1,2,3,4,5,5,1,4,3,2,4,3,1,5,2,5,1,4,2,3,1,20,10,9,8,25,16,1,4,9,15,10,8,3,4,10,4,9,8,5,20,3,4,15,4
3,4,5,1,2,2,1,5,3,4,1,5,4,3,2,5,1,2,4,3,5,1,2,4,3,5,1,2,3,4,4,5,1,3,2,4,5,1,3,2,2,1,5,3,4,1,3,2,4,5,5,1,3,4,2,1,2,3,4,5,5,1,3,4,2,5,1,3,4,2,1,5,3,2,4,6,4,25,3,8,25,1,4,16,9,16,25,1,9,4,5,3,6,16,10,25,1,9,16,4
3,5,4,2,1,3,4,5,2,1,5,1,2,4,3,5,1,4,2,3,5,1,4,2,3,5,3,2,1,4,5,1,2,3,4,5,2,1,3,4,4,5,3,1,2,4,3,1,5,2,5,4,3,2,1,4,5,2,3,1,5,3,2,1,4,5,4,3,1,2,5,3,4,1,2,9,20,20,4,1,25,1,16,4,9,25,2,2,9,16,20,12,3,10,2,25,12,6,1,8
1,4,5,3,2,1,2,5,4,3,1,5,4,3,2,4,3,1,2,5,1,5,4,3,2,4,2,1,3,5,5,4,2,3,1,5,4,3,1,2,3,5,4,2,1,3,2,1,4,5,5,3,4,2,1,3,4,2,5,1,4,5,3,2,1,5,3,4,2,1,3,5,4,2,1,1,8,25,12,6,4,15,4,6,10,25,16,6,3,2,15,6,4,8,5,20,15,12,4,1
2,4,5,3,1,1,5,4,3,2,1,5,4,3,2,5,4,2,1,3,5,2,3,1,4,5,2,1,3,4,4,5,3,2,1,4,5,2,3,1,4,5,2,3,1,5,3,2,4,1,5,2,1,4,3,5,4,2,3,1,2,1,5,4,3,4,1,5,3,2,4,1,5,3,2,2,20,20,9,2,25,8,6,1,12,16,25,6,6,1,25,6,2,16,3,8,1,25,12,6
1,2,3,4,5,1,3,4,2,5,2,3,4,5,1,2,1,4,3,5,2,3,1,4,5,2,3,5,1,4,2,3,1,5,4,1,2,3,4,5,5,4,3,2,1,1,3,2,4,5,2,1,3,4,5,4,5,3,2,1,1,3,2,4,5,4,5,1,2,3,2,4,3,5,1,1,6,12,8,25,4,3,4,12,25,2,6,3,20,20,2,3,6,16,25,4,15,2,8,15
5,3,1,4,2,5,4,1,3,2,5,3,1,4,2,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,3,5,4,2,1,4,5,3,2,1,4,5,3,2,1,2,4,5,3,1,2,4,5,3,1,3,4,5,2,1,5,2,4,3,1,5,2,4,3,1,5,2,4,3,1,25,12,1,12,4,25,16,9,4,1,12,25,12,4,1,4,16,25,9,1,25,4,16,9,1
1,4,5,2,3,1,4,5,2,3,1,4,5,2,3,5,1,3,2,4,5,1,3,2,4,5,1,3,2,4,5,3,4,2,1,5,3,4,2,1,5,3,4,2,1,5,1,4,2,3,5,1,4,3,2,5,1,4,3,2,5,2,4,1,3,5,2,4,1,3,2,4,3,5,1,1,16,25,4,9,25,1,9,4,16,25,9,16,4,1,25,1,16,6,6,25,4,16,1,9
2,5,4,1,3,4,5,3,1,2,2,5,3,1,4,2,4,5,1,3,2,3,4,1,5,5,4,1,2,3,5,1,2,4,3,5,4,1,2,3,5,3,1,2,4,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,8,25,12,1,6,4,12,20,1,15,25,4,2,8,9,25,16,9,4,1,1,4,9,16,25
4,5,3,1,2,2,4,3,1,5,5,4,2,3,1,4,3,5,1,2,5,4,3,1,2,3,2,4,5,1,5,4,2,3,1,2,3,1,4,5,5,3,4,1,2,1,3,2,4,5,1,5,3,4,2,1,2,4,3,5,5,4,3,1,2,4,2,5,3,1,2,1,5,4,3,8,20,9,1,10,20,12,15,1,4,10,12,2,12,5,1,15,6,16,10,20,8,15,3,2
5,4,3,2,1,4,5,3,2,1,4,5,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,4,5,3,2,1,2,5,4,3,1,2,5,4,1,3,5,4,3,2,1,5,4,3,1,2,5,2,3,1,4,5,4,3,1,2,5,3,4,2,1,5,4,3,2,1,20,20,9,4,1,25,16,9,4,1,8,25,12,6,1,25,16,9,2,2,25,12,12,2,2
2,5,4,3,1,1,5,4,3,2,3,5,4,2,1,3,1,2,5,4,3,2,1,4,5,4,2,1,3,5,5,4,1,2,3,5,4,1,3,2,2,3,5,4,1,1,5,2,3,4,3,5,4,2,1,1,5,4,2,3,2,1,5,3,4,4,1,5,2,3,1,2,3,5,4,2,25,16,9,2,9,2,2,20,20,25,16,1,6,6,3,25,8,6,4,8,1,25,6,12
5,4,2,3,1,3,2,1,5,4,4,2,5,3,1,3,1,2,5,4,4,2,1,3,5,5,1,2,4,3,2,5,3,4,1,2,5,4,3,1,4,1,3,2,5,3,5,4,1,2,5,4,3,1,2,5,4,3,1,2,5,2,4,1,3,5,3,4,1,2,4,2,5,1,3,15,8,2,15,4,12,2,2,15,20,4,25,12,12,1,15,20,12,1,4,25,6,16,1,6
5,4,3,2,1,5,4,3,2,1,4,3,2,1,5,5,3,1,2,4,5,3,1,2,4,1,3,5,4,2,5,4,1,3,2,5,4,1,3,2,1,2,5,3,4,1,5,4,3,2,1,5,4,3,2,5,1,2,3,4,5,1,4,3,2,5,1,4,3,2,1,5,2,3,4,25,16,9,4,1,25,9,1,4,16,25,16,1,9,4,1,25,16,9,4,25,1,16,9,4
4,3,5,2,1,4,3,5,2,1,4,3,5,2,1,5,3,4,1,2,5,3,4,1,2,5,3,4,1,2,3,4,2,5,1,3,4,2,5,1,3,4,2,5,1,4,5,3,1,2,4,5,3,1,2,4,5,3,1,2,5,2,3,1,4,5,2,3,1,4,5,2,3,1,4,16,9,25,4,1,25,9,16,1,4,9,16,4,25,1,16,25,9,1,4,25,4,9,1,16
2,5,4,1,3,3,5,4,2,1,1,2,3,4,5,4,2,3,1,5,4,3,1,2,5,2,4,5,3,1,4,5,2,3,1,4,5,2,3,1,2,1,5,3,4,5,3,2,1,4,5,3,2,1,4,1,2,3,5,4,4,2,5,1,3,5,2,4,1,3,5,2,4,1,3,6,25,16,2,3,16,6,3,2,25,16,25,4,9,1,25,9,4,1,16,20,4,20,1,9
1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,4,5,3,2,1,4,5,3,2,1,4,5,3,2,5,3,4,1,2,5,3,4,1,2,5,3,4,1,2,5,1,4,3,2,5,1,4,3,2,5,1,4,3,2,5,2,4,1,3,5,2,4,1,3,5,2,4,1,3,1,25,9,4,16,1,16,25,9,4,25,9,16,1,4,25,1,16,9,4,25,4,16,1,9
1,5,3,4,2,1,5,4,3,2,1,2,3,4,5,2,1,5,3,4,2,1,5,3,4,2,5,3,4,1,4,5,3,2,1,4,5,3,1,2,5,1,4,2,3,4,1,3,2,5,5,1,2,3,4,5,4,3,2,1,4,3,5,2,1,5,2,4,3,1,4,3,1,2,5,1,25,12,12,4,4,1,25,9,16,16,25,9,2,2,20,1,6,6,20,20,6,20,6,1
4,3,2,5,1,4,3,5,1,2,3,4,5,1,2,5,4,2,1,3,5,3,2,1,4,4,3,1,5,2,4,5,3,2,1,4,3,1,5,2,3,4,2,1,5,5,2,3,4,1,5,2,3,4,1,5,2,1,4,3,3,5,4,1,2,5,4,2,3,1,5,4,3,2,1,16,9,10,5,2,25,12,4,1,12,16,15,3,10,2,25,4,9,16,1,15,20,8,3,2
5,3,1,4,2,4,1,2,5,3,4,2,1,3,5,3,1,4,2,5,3,1,4,2,5,4,3,5,2,1,5,4,1,3,2,5,4,1,2,3,5,1,4,2,3,1,4,3,2,5,5,4,2,1,3,5,3,2,1,4,5,3,2,1,4,5,2,3,4,1,5,3,4,1,2,20,3,2,20,6,9,1,16,4,25,25,16,1,6,6,5,16,6,2,15,25,6,6,4,4
3,4,5,2,1,1,2,5,4,3,1,2,5,4,3,4,2,1,3,5,1,2,3,4,5,1,2,3,4,5,4,5,2,3,1,5,4,3,2,1,5,3,4,2,1,4,5,3,2,1,4,5,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,3,8,25,8,3,4,4,3,12,25,20,20,6,6,1,16,25,9,4,1,25,16,9,4,1
5,4,3,2,1,2,3,5,4,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,10,12,15,8,1,25,16,9,4,1,25,16,9,4,1,25,16,9,4,1,25,16,9,4,1
5,4,3,2,1,1,2,3,4,5,2,4,5,3,1,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,2,4,5,3,1,2,1,5,4,3,4,2,5,3,1,1,5,4,2,3,5,3,4,2,1,1,5,4,2,3,5,3,4,1,2,4,3,5,1,2,5,1,4,3,2,5,8,9,8,5,1,4,9,16,25,4,4,25,12,3,5,15,16,4,3,20,9,20,1,4
4,5,3,2,1,4,5,1,2,3,2,1,5,3,4,5,1,3,4,2,5,1,3,4,2,5,1,3,4,2,5,4,2,1,3,5,4,2,1,3,1,2,3,5,4,5,4,1,3,2,5,4,1,3,2,2,1,5,3,4,5,3,4,1,2,5,3,4,1,2,1,3,2,5,4,16,25,3,4,3,25,1,9,16,4,25,16,4,1,9,25,16,1,9,4,25,9,16,1,4
5,4,3,1,2,1,3,2,4,5,5,3,4,2,1,5,3,1,4,2,3,2,1,5,4,4,5,3,2,1,5,3,2,4,1,5,4,1,2,3,2,4,5,3,1,1,3,2,4,5,5,4,3,2,1,1,4,3,5,2,2,1,3,4,5,5,2,1,3,4,4,5,2,1,3,5,12,6,4,10,15,6,1,20,8,25,12,2,8,3,5,12,6,8,5,10,2,3,12,20
